id,name,zip,sate
0001116,Colonia los Hills,T4101XBJ,Tucumán
0001117,Escuela 233,T4124XDU,Tucumán
0001118,Cañada de Viclos,T4178XFN,Tucumán
0001119,Calera Aconquija,T4119XBR,Tucumán
0001120,El Bachi,T4187XBJ,Tucumán
0001121,El Obraje,T4129XAJ,Tucumán
0001122,Escuela 160,T4132XBG,Tucumán
0001123,Escuela 285,T4142XBI,Tucumán
0001124,Escuela 332,T4172XBJ,Tucumán
0001125,Villa Zenon Santillan,T4000XAC,Tucumán
0001126,Los Mogotes,A4126XAI,Salta
0001127,Escuela 66,Buscar CPA,tucuman
0001128,El Molar,G4184XAE,Santiago del Estero
0001129,Rumi Yura,T4242XBD,Tucumán
0001130,Yaquilo,T4158XAE,Tucumán
0001131,Concepcion,T4119XCD,Tucumán
0001132,Colonia Nueva Trinidad,T4152XAX,Tucumán
0001133,Escuela 130,T4128XAP,Tucumán
0001134,Escuela Manuel Savio,T4128XBJ,Tucumán
0001135,Escuela 319,T4142XBN,Tucumán
0001136,Esquina del Llano,T4111XBX,Tucumán
0001137,Los Crespo,T4113XAI,Tucumán
0001138,Escuela 192,T4168XAJ,Tucumán
0001139,Lunarejos,T4113XAU,Tucumán
0001140,Cañada de la Cruz,T4119XBU,Tucumán
0001141,El Prado,Buscar CPA,tucuman
0001142,Chañar Viejo,T4117XAE,Tucumán
0001143,Puesto la Ramadita,T4135XAN,Tucumán
0001144,Escuela 174,T4168XEM,Tucumán
0001145,Las Cañas,T4141XAU,Tucumán
0001146,La Zanja,T4242XAA,Tucumán
0001147,Tucumán,T4152XAK,Monte Redondo
0001148,Vesubio,T4122XAI,Tucumán
0001149,El Cevilar Colombres,T4111XAG,Tucumán
0001150,Alabama Nueva,T4178XBK,Tucumán
0001151,Escuela 193,T4172XBB,Tucumán
0001152,Pozo Grande,T4195XAB,Tucumán
0001153,Chilcas,T4119XFM,Tucumán
0001154,Escuela 170,T4124XAM,Tucumán
0001155,Escuela 277,Buscar CPA,tucuman
0001156,Cañadas,T4176XBU,Tucumán
0001157,Banda del Rio Sali,Buscar CPA,Tucumán
0001158,Escuela 115,T4146XAB,Tucumán
0001159,Escuela 184,T4176XAV,Tucumán
0001160,Escuela 125,T4162XAN,Tucumán
0001161,Los Chañaritos,T4111XCA,Tucumán
0001162,La Cavera,T4105XAM,Tucumán
